YEAR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
BMW,0,0,0,178,1699,3075,7291,13120,17095,15772,19310,30071,38116,32129,35118,38106,41095,44083,47072,50060,53049
TESLA,47,26,13,1,718,1472,2497,4755,3366,13164,24779,34865,54664,35760,39326,42892,46458,50024,53591,57157,60723
MERCEDES,0,2,5,7,25,1039,5832,4496,2540,1881,16106,27173,26507,20948,22999,25051,27103,29154,31206,33258,35309
VOLKSWAGEN,0,0,0,30,145,1515,2134,3967,5960,4121,10245,21061,24518,17967,19724,21481,23237,24994,26751,28508,30265
NISSAN,0,640,695,1814,4459,5976,5544,6595,6078,7156,10722,11137,11196,12449,13436,14423,15410,16397,17385,18372,19359
AUDI,0,0,0,0,66,1198,636,933,723,1517,9806,21785,19119,14617,16092,17567,19042,20517,21992,23467,24942
MITSUBISHI,27,124,107,3,5370,11784,9449,7502,8704,6196,3735,2115,1,5981,6230,6479,6727,6976,7225,7474,7723
KIA,0,0,0,0,20,129,395,731,1845,1946,10134,18430,20684,14443,15909,17375,18842,20308,21774,23241,24707
VOLVO,0,0,0,75,163,152,1884,2236,2265,2971,7902,15650,15717,12199,13403,14607,15811,17015,18219,19423,20627
HYUNDAI,0,0,0,0,6,7,71,567,1652,2236,7891,14371,18302,12077,13306,14536,15766,16995,18225,19455,20684
